"_id" "atleta_id" "rodada_id" "nome" "posicao" "jogou" "pontos_num" "media_num" "preco_num" "variacao_num" "jogos_num" "mando" "adversario" "mando_fut" "adversario_fut" "pontos_fut" "variacao_fut" "vai_jogar"
"35" "57ad288704de860594d2de77" 61211 15 "Carlos Cesar" "lateral" TRUE 2.6 3.35 8.14 1.17 7 TRUE "cam" FALSE "pal" 1.6 -0.25 TRUE
"36" "57ad288704de860594d2de9f" 85027 15 "Carlos" "atacante" TRUE 0.9 1.78 8.75 0.84 13 TRUE "cam" FALSE "pal" 0 0 FALSE
"37" "57ad288704de860594d2deb7" 42234 15 "Cássio" "goleiro" TRUE -2 3.09 18.67 -1.55 8 TRUE "cor" TRUE "cor" -1.5 -0.41 TRUE
"38" "57ad288704de860594d2dedf" 37790 15 "Ceará" "lateral" TRUE -1.8 1.78 5.28 -1.37 4 FALSE "cam" FALSE "scz" 6.8 1.51 TRUE
"39" "57ad288704de860594d2def3" 88269 15 "Centurión" "atacante" TRUE -1 2.35 8.3 -1.06 13 FALSE "cor" FALSE "gre" -1.2 -0.27 TRUE
"40" "57ad288704de860594d2df95" 37688 15 "Cícero" "meia" TRUE 13.9 2.51 10.44 3.32 14 TRUE "flu" FALSE "cap" 2.2 -1.87 TRUE
"41" "57ad288704de860594d2dfa9" 73863 15 "Claudinei" "meia" TRUE 0 3.08 8.51 -0.52 10 TRUE "ame" FALSE "fla" -0.6 -0.31 TRUE
"42" "57ad288704de860594d2dfde" 83817 15 "Clayson" "meia" TRUE 2 2.44 3.61 0.62 12 FALSE "san" TRUE "pon" -6.5 -1.67 TRUE
"43" "57ad288704de860594d2e006" 81770 15 "Clayton" "atacante" TRUE 6.2 1.09 7.25 1.1 12 TRUE "cam" FALSE "pal" 0 0 FALSE
"44" "57ad288704de860594d2e01a" 38032 15 "Cleber Santana" "meia" TRUE 1.5 1.39 4.4 0.01 14 FALSE "fig" TRUE "cha" 5 0.68 TRUE
"45" "57ad288704de860594d2e056" 38530 15 "Cleiton Xavier" "meia" TRUE 2.9 3.65 14.74 -0.53 12 FALSE "int" TRUE "pal" -0.2 -0.8 TRUE
"46" "57ad288704de860594d2e0b1" 60752 15 "Cristóvão Borges" "tecnico" TRUE 3.35 5.22 14.16 -0.19 6 TRUE "cor" TRUE "cor" 2.34 -0.37 TRUE
"47" "57ad288704de860594d2e0ca" 42411 15 "Cuca" "tecnico" TRUE 5.34 4.33 14.56 0.88 15 FALSE "int" TRUE "pal" 3.57 -0.4 TRUE
"48" "57ad288704de860594d2e0de" 71709 15 "Cuéllar" "meia" TRUE 0 2.16 12.19 -0.36 9 FALSE "bot" TRUE "fla" 0 0 FALSE
"49" "57ad288704de860594d2e0ed" 82411 15 "Cueva" "atacante" TRUE 5.5 2.35 7.54 1.19 4 FALSE "cor" FALSE "gre" 6.7 0.43 TRUE
"50" "57ad288704de860594d2e101" 37613 15 "Dagoberto" "atacante" TRUE 3.9 1.41 6.91 0.16 14 FALSE "cap" TRUE "vit" 0.1 -0.71 TRUE
"51" "57ad288704de860594d2e172" 84382 15 "Danilo Barcelos" "lateral" TRUE 0.2 1.92 4.26 0.11 14 TRUE "ame" FALSE "fla" 5.1 0.89 TRUE
"52" "57ad288704de860594d2e17b" 37894 15 "Danilo Dias" "atacante" TRUE 0.2 0.2 3.28 -0.72 1 TRUE "ame" FALSE "fla" 0 0 FALSE
